Date,Transgene,Treatment,Time,Abundance_mean
21/08/2018,Cry,Control,1,0.285714286
21/08/2018,Cry,Control,2,0.285714286
21/08/2018,Cry,Induction,1,0.571428571
21/08/2018,Cry,Induction,2,1.142857143
22/08/2018,Cry,Control,1,0.428571429
22/08/2018,Cry,Control,2,0.142857143
22/08/2018,Cry,Induction,1,0.857142857
22/08/2018,Cry,Induction,2,1.285714286
